"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","15221.8506766724","17697.5234495471","21036.3874477136","23491.6646758167","24007.4957081744","25097.2721099909","25692.2384598819","26743.7228041228","28027.5156353729","27868.5430751046","27358.5421213954","28413.1440057025","28121.3155796027","27646.1956456575","29005.9333738747","29693.1399149667","29059.4865095137","29093.5782378862","30931.9364997363","30505.3391939872","30490.3658419122","31051.0015717696","31230.193038317","27243.3332022516","26200.7273001561","26829.634480299","26337.5850592423","27821.7915999069","27624.3773003771","28421.3864931862","28852.2370667381","30270.9416008153","31705.2788242026","31762.7339603086","25823.6349408072","30271.833634046","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1179.05807720866","1151.43305843842","1210.0869659267","1238.29162535706","1259.64003252953","1290.32757546117","1304.41265778557","1335.23791068474","1349.89206971968","1381.13248566564","1404.90953967488","1438.84504507288","1428.9701025442","1450.29581269415","1491.22923454457","1473.35115942577","1471.75207336523","1448.43232786901","1421.12165826262","1416.50086874894","1449.95987346633","1468.10211239003","1430.93890646036","1391.49592032636","1392.60236193177","1346.62077189411","1337.02985665227","1352.26789916119","1366.63866656361","1367.42805235366","1328.5017529","1294.18173313554","1236.00926663433","1199.60576498598","1192.18050250694","1212.0231845501","1244.56291777351","1267.04327871534","1258.73378976952","1259.88274573236","1269.34174240758","1282.17601216184","1298.35810188963","1304.48430328524","1340.8675608976","1385.87274794344","1437.9028911293","1491.50182000237","1513.94960917093","1483.13034858165","1517.78091531551","1532.09211799945","1503.82757214524","1524.88802481702","1542.98477331588","1545.55908352233","1537.9818398471","1536.3533272691","1533.74425509265","1524.73263307755","1442.06677999997","1466.34479234287","1478.69884457893",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359.766116381112","363.101253074406","354.033690188581","379.955590339344","384.078063662358","429.412267248095","437.419751677908","512.408956951877","569.282353956434","551.00062369988","596.442439966449","608.386331910323","602.516600325407","592.476164793256","590.427367421378","588.930080331481","578.985544847804","584.386515325947","553.036131033118","426.229401276432","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1088.48340394439","1085.70220528542","1102.99681363136","1157.91182610942","1194.15714585116","1215.63717367167","1167.46528687229","1032.41504305257","1023.94906746601","1156.19123074757","1331.79336927594","1441.16051248302","1451.33965739519","1475.55876572513","1585.5408314816","1510.45173875481","1596.62721836521","1627.80984218475","1548.52728966484","1584.1400361423","1571.79037482939","1421.65666330636","1334.98091498575","1214.33519455554","1190.02459900019","1223.04637782098","1207.49778169388","1192.73249008498","1217.54028551203","1211.71452713981","1258.03773962458","1239.42839200486","1238.96722365052","1192.22900768427","1158.47547993209","1149.86016420061","1171.70586484279","1189.57631572286","1198.40015853754","1183.39450381867","1194.716986105","1222.67329897449","1307.22063420614","1341.79267808631","1409.26993985682","1450.19594552125","1486.04797686889","1525.04907615775","1576.17518315318","1628.90281136085","1694.22684168126","1727.23936129349","1766.29419825292","1823.8387025454","1880.26160761442","1880.75077764461","1833.36951044896","1826.35337408102","1828.91323261968","1839.2206304036","1775.71005810864","1800.07564247556","1821.54456289897",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2668.42179676737","2461.93003530767","2375.0622809098","2386.89713454092","2440.40609254252","2436.41663712552","2419.24929159792","2432.90642262783","2496.52631318736","2414.76725919977","2254.75489664156","2202.61364955231","2007.71992658847","1478.70332011074","1451.33812526466","1615.02616898236","1773.70988402377","1840.32190268097","1864.50237259747","1844.68784187534","1840.35382835349","1855.78017696501","2040.19475501371","2030.6862080773","2175.41476872045","2414.91848437074","2598.79567139789","2856.98884621402","3061.63627198895","2975.99342715623","2992.99292481041","2982.66523053463","3118.02018277884","3152.51580772684","3185.00970610559","3100.83068530533","2914.41213130922","2808.59871467039","2677.24983283563","2569.70165067457","2346.84601909898","2300.97461359713","2298.74831182791",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.50584308357","1804.01078424171","1818.36782494955","1799.87862140532","1740.34768635719","1735.29031693601","1798.01508458278","1748.5787249295","1691.53095349291","1808.64608297155","1606.29647201533","1163.49160146384","1086.43877430545","1197.58091066971","1305.00106402508","1488.02088513403","1633.55200434173","1464.29796641697","1603.64765452026","1821.87313584817","1960.88246493025","2143.52684515058","2247.49808605638","2380.64462708705","2522.44938113726","2675.50864417697","2851.3677667452","3044.89662487827","3298.4789171641","3432.17088105477","3577.11433445482","3678.04771118469","3736.34008946398","3780.69920254585","3855.76075430011","3952.80358410846","4090.37273911621","4249.82006064482","4431.55560679714","4543.38772250631","4418.66088547605","4857.11195487159","5158.50912786813",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","43258.8983311699","42166.1329930728","42586.6277115212","42965.9369943516","42570.3512640914","40266.2382986269","39247.9216260635","38203.642499335","36828.8367079965","35152.0436126893","34446.3610127237","33120.9435149377","32134.1530402292","31219.5554273388","30459.1311973014","30008.0418640887","29764.0872663461","30076.358727182","30323.2995316781","30565.1246519734","30578.0600036328","30301.6299214872","29596.0221728002","28363.3389423177","28144.3743981951","28051.3900238919","28797.8532021372","31149.355654188","31895.9807855248","32966.2368476605","33901.1769747473","35722.5288914608","35749.9289132942","37250.295190897","38696.4946083903","39307.1408566172","40994.4476103314","42724.5672010062","41470.4379343312","40442.7851082671","40937.2740684164","41486.1994761194","39174.8972881629","37597.7053326941","38402.6492625923","38885.5303237179","39886.6400858717","39321.6143104893","39320.0924477975","39413.7908792259","34394.4140409799","36616.1007622181","39447.519717091",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4026.91572769028","4500.05884959199","4700.64838580405","4530.21290323664","4864.70780130059","5124.8848630441","5132.19561212701","4562.95277095736","4146.08713404464","4072.55925546802","3872.55012953239","3926.74616950752","3810.70855682514","3927.28201905631","3911.44682676711","4249.04242445569","4259.84340934013","4370.19565704778","4388.75985320226","4414.47278483908","4436.92521036949","4537.96882041192","4642.10847839866","4769.48839074157","4749.33388501436","4948.11592002694","4923.88006061703","4851.52246364197","4980.25170354728","5304.49440755299","5468.91437330463","5658.88213871267","5762.63901340624","5922.12857110422","5792.67557780795","5922.22809580489","5999.80347751185","6175.1079822559","6194.36288654919","6204.72741912491","6283.25602556899","6380.42052849174","6327.28296221861","6349.07297121612","6306.4617904293","5883.14084289504","5995.46651955559","6241.34453461308",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","102025.977479722","105186.03512715","110988.242968269","95880.7656196664","102768.724256799","114047.906133484","110016.898438548","96677.5348201826","86901.731296869","85503.7952923999","78175.7224108364","62446.1260676135","60166.039749367","54839.9932508089","57887.42665645","64592.6091036242","61637.3164233661","60452.8005146302","58267.6610073862","59458.0444793366","60698.9619911376","60755.2425205539","61581.2048360741","58060.7868499292","56342.7929580295","59067.6034711527","56792.5827403129","55301.5095555022","57331.6540572285","59986.440027708","58672.4846804814","56315.1912301557","48474.2089887313","42033.2335838123","34826.4701168089","33344.1211661401","35265.8873964352","36567.6222922399","38034.9683997314","39242.2753125752","41525.1389043587","43457.5134835549","43419.5637443127","43644.1470474986","43785.4172712311","41276.0555134414","42535.9660463937","45320.6418633171",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7410.30502869639","7687.5173380417","7498.8400606558","6986.56480206001","7572.2311661756","8241.52933666809","8059.45043146279","8187.37335067668","8450.03706417302","9126.18647909255","9257.89557164576","9628.03783789492","9630.01036600914","9739.41627064185","10105.0495075297","9935.93863469002","9581.84140311136","10083.8151828918","9476.06343622627","10278.9246238181","10270.9561180014","9585.20677182144","9366.17037951494","9622.34731895272","9624.40455636866","8987.93370569176","9397.88360849477","9507.33981264281","9262.96392660836","8473.02656895128","8144.49429397801","8762.66138351332","9327.8594509636","9957.25652230492","10397.3792874496","9969.33157579723","10388.5387104408","11097.3820634618","11391.9451576314","10880.2062074837","10672.7220353121","10090.6534434286","8895.31964210751","9581.96979219468","10341.6434058805","11141.3106718375","11913.9585322637","12857.0925770961","13246.6348917152","12336.8619385237","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13105.397163317","12716.2242038544","11341.2683655863","12402.4907912317","12932.4695302972",
