"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554000000","666000000","726000000","786000000","782000000","850000000","825000000","835000000","858099975.585938","1057000000","1097000000","1064099975.58594","1213400024.41406","1352000000","1223000000","1254000000","1358000000","1412000000","1506000000","1625000000","1659000000","1757000000","1855000000","2035000000","2109000000","1077000000","","",
"Africa Eastern and Southern","AFE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6234141611.02522","6965505051.76962","7622321612.7186","7792159847.58835","8034209108.0477","7035528872.53843","7489514346.13079","8266443183.63781","12204601548.1951","14437267235.1753","16105273905.4633","18031562938.4287","20973170450.8516","20408316343.181","19179935926.341","22022165206.7375","24202048003.6444","26393212256.2434","26053231118.5385","27220802346.3011","25119401604.8546","24305252593.9629","26552526185.1869","28672643620.2925","27810935913.9312","","","",
"Afghanistan","AFG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57000000","89000000","147000000","165000000","167000000","179000000","121000000","86000000","62000000","16000000","50000000","85000000","75000000","","",
"Africa Western and Central","AFW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927778426.203599","998165500.077464","984504076.314363","1318411825.56936","1443612846.65482","1475215373.47612","1629462885.38722","1840559321.95661","2094376180.76759","2158285284.25871","2740615084.05839","3074292754.20037","4003336033.34407","4900188000.1158","4254369558.35687","4034222723.1886","4564552102.58221","4741440190.47557","5072423447.92945","5059666955.40612","4341562037.13241","5481752263.76546","7387315887.85046","7230774394.40082","","","","",
"Angola","AGO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000000","38000000","24000000","39000000","31000000","34000000","35000000","51000000","63000000","82000000","103000000","91000000","236000000","293000000","554000000","726000000","653000000","711000000","1241000000","1597000000","1171000000","628000000","884000000","557000000","395000000","19000000","","",
"Albania","ALB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70000000","94000000","34000000","60000000","218000000","398000000","451000000","492000000","537000000","756000000","880000000","1057000000","1479000000","1850000000","2013000000","1778000000","1833000000","1623000000","1670000000","1849000000","1613000000","1821000000","2050000000","2306000000","2458000000","1243000000","","",
"Andorra","AND","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1910000000","","","",
"Arab World","ARB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29586477671.5468","34671162030.7278","40184504881.5326","46282122294.9469","55384830966.5973","61950764464.1174","62406375266.9131","72002050458.6476","63688193204.0993","70933565985.905","69505430690.3871","78173558299.7625","89547572197.1965","93401986638.0264","107575704649.852","119512548743.69","131922562360.543","","","",
"United Arab Emirates","ARE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632000000","743000000","814000000","859000000","893000000","1063000000","1200000000","1332000000","1438000000","1593000000","3218000000","4972000000","6072000000","7162000000","7352000000","8577000000","9204000000","10924000000","12389000000","15221000000","25587099609.375","28657400390.625","29705500000","34609500000","38413300781.25","24615400390.625","","",
"Argentina","ARG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550000000","2975000000","3153000000","3353000000","3175000000","3195000000","2756000000","1716000000","2306000000","2660000000","3209000000","3926000000","5030000000","5273000000","4455000000","5605000000","6058000000","5665000000","5199000000","5645000000","5441000000","5466000000","5830000000","5999000000","5654000000","1702000000","","",
